n, val, time
1,1,0
2,1,0
3,2,0
4,3,0
5,5,0
6,8,0
7,13,0
8,21,0
9,34,0
10,55,0
11,89,1
12,144,0
13,233,0
14,377,0
15,610,0
16,987,0
17,1597,0
18,2584,0
19,4181,0
20,6765,0
21,10946,0
22,17711,0
23,28657,0
24,46368,1
25,75025,0
26,121393,1
27,196418,1
28,317811,2
29,514229,2
30,832040,5
31,1346269,7
32,2178309,12
33,3524578,17
34,5702887,30
35,9227465,47
36,14930352,73
37,24157817,128
38,39088169,208
39,63245986,324
40,102334155,503
41,165580141,812
42,267914296,1306
43,433494437,2204
44,701408733,3505
45,1134903170,5811
46,1836311903,9303
47,2971215073,15225
48,4807526976,24461
49,7778742049,38188
50,12586269025,63441
